"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0043536","positive regulation of blood vessel endothelial cell migration","5/272","62/28832",0.0806451612903226,8.54838709677419,5.80651137146512,0.000300471727407763,0.00510072636283955,0.00364343080806654,"Akt1/Akt3/Hmgb1/Rhoj/Thbs1",5,"BP"
"GO:0007009","plasma membrane organization","8/272","178/28832",0.0449438202247191,4.76404494382022,4.91594909159643,0.000303369811678063,0.00512504459631973,0.0036608012362677,"Akt1/Akt2/Cav1/Cd9/Dnm2/Emp2/Ndrg1/Sod1",8,"BP"
"GO:0030336","negative regulation of cell migration","11/272","328/28832",0.0335365853658537,3.55487804878049,4.54139623549097,0.000310535387517467,0.00522087620263741,0.00372925341386107,"Akt1/Apod/Apoh/Cav1/Coro1c/Dusp3/Gna13/Hmgb1/Ptk2/Thbs1/Tpm1",11,"BP"
"GO:0002833","positive regulation of response to biotic stimulus","13/272","441/28832",0.0294784580498866,3.12471655328798,4.38798520731189,0.000316323647265922,0.0052927454281767,0.00378058934758013,"Akt1/Banf1/C1qbp/Casp1/Cav1/Cd36/Csnk1a1/Erbin/Hmgb1/Lamp2/Ppt1/Rps19/Tab1",13,"BP"
"GO:0010639","negative regulation of organelle organization","12/272","384/28832",0.03125,3.3125,4.45201570272283,0.000317838965371727,0.00529277553288062,0.0037806108512637,"Akt1/Capza1/Capza2/Cfl1/Coro2b/Dnm2/Exosc10/F11r/Ghitm/Myadm/Prkcd/Tpm1",12,"BP"
"GO:0090075","relaxation of muscle","4/272","35/28832",0.114285714285714,12.1142857142857,6.42062284171787,0.000322240113203153,0.00534063353493567,0.0038147956529363,"Atp2a1/Gucy1a1/Sod1/Sri",4,"BP"
"GO:0070527","platelet aggregation","5/272","63/28832",0.0793650793650794,8.41269841269841,5.74803529559997,0.000323884563904301,0.00534256754704407,0.0038161771109479,"Cd9/F11r/Fga/Gla/Prkcd",5,"BP"
"GO:0033157","regulation of intracellular protein transport","8/272","180/28832",0.0444444444444444,4.71111111111111,4.87413935941724,0.000327021689653123,0.00536898990007967,0.00383505050430867,"Apod/Camk1/Cd36/Ei24/Pdcd5/Prkcd/Ran/Vamp2",8,"BP"
"GO:0001667","ameboidal-type cell migration","10/272","278/28832",0.0359712230215827,3.81294964028777,4.59924008763249,0.000334716838750208,0.00544420830283478,0.00388877874347243,"Akt1/C1qbp/Cdh2/Cfl1/Coro1c/Gna13/Ptk2/Ret/Rock1/Thbs1",10,"BP"
"GO:0090150","establishment of protein localization to membrane","10/272","278/28832",0.0359712230215827,3.81294964028777,4.59924008763249,0.000334716838750208,0.00544420830283478,0.00388877874347243,"Akt2/Arl6ip1/Atp6ap1/Camk2a/Mtch2/Mylk/Pdcd5/Sec62/Srp9/Vamp2",10,"BP"
