"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009141","nucleoside triphosphate metabolic process",155,-0.389733202461049,-1.71715276442281,1.20932745941142e-05,0.00204318753618654,0.00195553402709837,600,"tags=34%, list=14%, signal=30%","11636/54403/11946/57423/68198/67680/75406/17991/17995/71679/227731/11950/11957/66945/17993/14555/79459/11949/67184/11947/11674/595136/19384/68202/227197/51797/11958/67273/225887/407785/12183/66495/19335/66046/78830/66091/18293/66108/13808/68349/18642/226646/70316/18639/56012/72900/20533/27425/14679/14447/15277/11474"
"GO:0022904","respiratory electron transport chain",53,-0.563678573515914,-2.14074426343721,1.90826327345789e-05,0.00307750822464936,0.00294548197137567,848,"tags=68%, list=20%, signal=55%","110826/67264/71361/13382/26926/12866/66841/12861/67530/20656/67680/75406/110842/17995/22272/66945/17993/68202/227197/67273/67003/225887/407785/12859/22273/12867/215951/68349/66576/226646/66694/12857/12858/69702/72900/67914"
"GO:0042773","ATP synthesis coupled electron transport",42,-0.592219056244727,-2.11828009925671,8.48857227132569e-05,0.0125489393411098,0.0120105851523231,556,"tags=55%, list=13%, signal=48%","67680/75406/17995/22272/66945/227197/67273/67003/225887/407785/12859/22273/12867/215951/68349/66576/226646/66694/12857/12858/69702/72900/67914"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",42,-0.592219056244727,-2.11828009925671,8.48857227132569e-05,0.0125489393411098,0.0120105851523231,556,"tags=55%, list=13%, signal=48%","67680/75406/17995/22272/66945/227197/67273/67003/225887/407785/12859/22273/12867/215951/68349/66576/226646/66694/12857/12858/69702/72900/67914"
"GO:0016052","carbohydrate catabolic process",91,-0.451715665335772,-1.89621047618913,9.72059340863579e-05,0.0137954661655359,0.0132036355100038,470,"tags=27%, list=11%, signal=25%","319625/14555/79459/14571/11674/26358/16828/66681/12183/78830/18293/13808/18642/72157/14667/18639/56012/102093/77559/52331/20533/19309/14447/15277/11474"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",18,-0.752004055674271,-2.13548215706551,0.000127803050919642,0.0174402009485727,0.016692009808371,530,"tags=61%, list=13%, signal=54%","75406/17995/227197/67273/225887/407785/68349/226646/69702/72900/67914"
"GO:0019722","calcium-mediated signaling",57,-0.496102484181281,-1.9188903649828,0.000143093503206382,0.0188035462731941,0.0179968671089196,418,"tags=23%, list=10%, signal=21%","14299/112405/193034/15944/243725/19264/27967/16145/20336/74166/16438/12372/11474"
"GO:0033108","mitochondrial respiratory chain complex assembly",51,-0.538958996054867,-2.01080839026463,0.000157236010463456,0.0199240487544407,0.0190692996148537,604,"tags=51%, list=14%, signal=44%","75597/68198/70207/75406/17991/66706/17993/66821/67184/595136/68202/227197/67273/225887/407785/22273/66495/66046/66091/66108/68349/226646/70316/69702/52469/69487"
"GO:0006099","tricarboxylic acid cycle",24,-0.668047416001424,-2.112739366634,0.00020318331197858,0.0248584272724139,0.023791991449833,608,"tags=62%, list=14%, signal=54%","68263/235339/67680/17448/66945/17993/18597/20916/15929/67834/11429/18293/78920/170718/56451"
"GO:0009145","purine nucleoside triphosphate biosynthetic process",70,-0.460309545966028,-1.88450125014362,0.000241412521760143,0.0285510542401663,0.0273262033402885,584,"tags=49%, list=14%, signal=43%","28080/11946/57423/68198/67680/75406/17991/17995/71679/11950/11957/66945/17993/11949/67184/11947/11674/595136/68202/227197/11958/67273/225887/407785/66495/66046/78830/66091/66108/68349/226646/70316/72900/27425"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",69,-0.460785951782249,-1.86402061951091,0.000327731078938565,0.0375093505830332,0.0359001854212499,584,"tags=49%, list=14%, signal=43%","28080/11946/57423/68198/67680/75406/17991/17995/71679/11950/11957/66945/17993/11949/67184/11947/11674/595136/68202/227197/11958/67273/225887/407785/66495/66046/78830/66091/66108/68349/226646/70316/72900/27425"
"GO:0006754","ATP biosynthetic process",63,-0.470153105152387,-1.86908419760927,0.000440410396888943,0.0488305027550616,0.0467356559330174,584,"tags=54%, list=14%, signal=47%","28080/11946/57423/68198/67680/75406/17991/17995/71679/11950/11957/66945/17993/11949/67184/11947/11674/595136/68202/227197/11958/67273/225887/407785/66495/66046/78830/66091/66108/68349/226646/70316/72900/27425"
