"Gene","log2FC_disease","log2FC_treated","neglog10_disease","neglog10_treated","rescue_metric","rescue_status"
"Rbsn",0.519203748,-0.000835351,1.559253886,0.00140322,0.160890787714418,"Not rescued"
"Rock1",0.505862977,0.141384533,1.70721425,0.384341595,-27.9491758496491,"Worsened"
"Cmbl",0.503417798,0.054532596,1.831440777,0.222980803,-10.8324727923108,"Worsened"
"Krt19",-0.53844973,0.135930981,1.387296689,0.187861241,25.2448786630462,"Not rescued"
"Tmod3",-0.539913757,0.279760769,1.385451346,1.246371074,51.8158252818885,"Partially rescued"
"Tbc1d5",-0.557257414,0.162509782,1.333969869,0.385501065,29.1624261817358,"Not rescued"
"Fbn1",-0.563057116,-0.102627754,2.801667025,0.341175994,-18.2268816224321,"Worsened"
"Ces1c",-0.567342724,0.045626095,3.015207206,0.107495633,8.04206929425608,"Not rescued"
"Kng2",-0.573310886,0.047665868,2.712996682,0.107526232,8.31413970395112,"Not rescued"
"C3",-0.580391986,-0.126983779,2.051459204,0.288200497,-21.8789683632882,"Worsened"
"Zbtb20",-0.612962016,0.167105573,1.549862587,0.30023602,27.2619784975387,"Not rescued"
"Agt",-0.643573454,0.21294008,1.386350929,0.470858089,33.0871447037652,"Partially rescued"
"Serping1",-0.643629653,0.190819195,1.994084453,1.75276763,29.6473591778407,"Not rescued"
"Egr2",-0.644637406,0.484691279,2.071281965,1.547585793,75.1882026219248,"Partially rescued"
"F11r",-0.646595035,0.071731704,2.221541139,0.212509037,11.0937604090944,"Not rescued"
"Col6a5",-0.646970374,0.543440546,1.751257774,1.51561223,83.9977482492885,"Rescued"
"Map2",-0.656173876,0.328310694,1.366985829,0.577021065,50.0341001079415,"Partially rescued"
"Hgfac",-0.660054718,0.014931679,3.124455922,0.033567121,2.26218805696046,"Not rescued"
"Znf512",-0.673948288,0.242325544,2.323009874,0.345989477,35.9561035044873,"Partially rescued"
"Aspn",-0.679152318,0.524438177,1.357485464,1.47499208,77.2195224989278,"Partially rescued"
"Serpina6",-0.685584034,-0.006424359,1.382568461,0.008472747,-0.937063683137062,"Worsened"
"Prrg3",-0.702858857,-0.172012193,1.619651596,0.210354974,-24.4732198060641,"Worsened"
"Fga",-0.705913986,0.101050104,3.779204788,0.40601248,14.3147899041626,"Not rescued"
"Fap",-0.722108739,0.250362805,1.967138602,0.392048932,34.6710670399462,"Partially rescued"
"Ptgis",-0.841725111,0.199609348,2.50770327,0.431758306,23.7143154447248,"Not rescued"
"Pakap",-0.847795316,0.432349477,1.852548305,1.005555685,50.9969173974535,"Partially rescued"
"Col6a6",-0.906346423,0.341665132,2.426425285,0.974792811,37.6969692084281,"Partially rescued"
"Gla",-0.92817034,0.33520845,1.668502135,0.78066801,36.1149710946377,"Partially rescued"
"Ccar2",-0.938910655,0.718660082,1.384939633,1.277563608,76.5419029140744,"Partially rescued"
"Tmtc3",-0.983457429,0.208970887,1.611609218,0.219770326,21.2485950929758,"Not rescued"
"C1qtnf5",-0.984475817,-0.210552454,1.335709178,0.13840684,-21.3872652191313,"Worsened"
"Tmt1b",-1.006928001,0.588878495,2.809155932,1.821851152,58.4826814246076,"Partially rescued"
"Gas6",-1.096086161,0.567373208,1.626881861,0.857912956,51.7635591240715,"Partially rescued"
"Raver1",-1.539081284,1.629731383,1.484631404,1.523714095,105.889883786021,"Rescued"
"Lpcat3",-1.621692964,0.333282369,1.455096823,0.248829422,20.5515086023398,"Not rescued"
"Sec62",-1.643823862,-0.089898825,4.174045569,0.124443719,-5.46888429339517,"Worsened"
"Amz2",-1.751633874,0.429776055,1.5767118,0.261888948,24.5357241247322,"Not rescued"
"Ear6",-1.765978711,0.74859987,1.526462458,0.423416692,42.3900846220337,"Partially rescued"
"Fkbp11",-1.921071359,0.13311209,1.699861765,0.09337654,6.92905494511618,"Not rescued"
"H3c11",-2.632967915,0.328531708,1.369650206,0.218868005,12.4776191205505,"Not rescued"
"Sbf2",-2.815030677,0.149104663,5.785280445,0.306111942,5.29673314817663,"Not rescued"
"Mtmr2",-3.593763999,0.378920385,4.284536115,0.603659743,10.5438305104464,"Not rescued"
