"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0034109","homotypic cell-cell adhesion","4/104","93/28832",0.043010752688172,11.9239040529363,6.34859103813204,0.000364534435911006,0.0295272893087915,0.0228384732362178,"Cd99/F11r/Fga/Gla",4,"BP"
"GO:0031589","cell-substrate adhesion","7/104","376/28832",0.0186170212765957,5.16121112929623,4.88675509424182,0.000436017201547285,0.0338195870992683,0.0261584369208116,"Dock5/Ptk2/Apod/Rock1/Agt/Fga/Gas6",7,"BP"
"GO:1902904","negative regulation of supramolecular fiber organization","5/104","176/28832",0.0284090909090909,7.87587412587412,5.50516441437128,0.000452093651136076,0.0338195870992683,0.0261584369208116,"Pfdn5/Shroom2/Tmod3/F11r/Map2",5,"BP"
"GO:1903034","regulation of response to wounding","5/104","177/28832",0.0282485875706215,7.83137766188614,5.48515050738393,0.000463917518508482,0.0338195870992683,0.0261584369208116,"Enpp4/Ptk2/Kng2/Serping1/Fga",5,"BP"
"GO:0030168","platelet activation","4/104","104/28832",0.0384615384615385,10.6627218934911,5.93960111845033,0.000556947348903369,0.0384030241765375,0.0297035881171977,"Pf4/F11r/Fga/Gla",4,"BP"
"GO:0072676","lymphocyte migration","4/104","105/28832",0.0380952380952381,10.5611721611722,5.90547013128911,0.000577412559097515,0.0384030241765375,0.0297035881171977,"Cd99/Apod/F11r/Gas6",4,"BP"
"GO:0010613","positive regulation of cardiac muscle hypertrophy","3/104","45/28832",0.0666666666666667,18.4820512820513,7.06145619727492,0.00057946950060619,0.0384030241765375,0.0297035881171977,"Ptk2/Rock1/Agt",3,"BP"
"GO:0014742","positive regulation of muscle hypertrophy","3/104","46/28832",0.0652173913043478,18.0802675585284,6.97552262188164,0.00061827908041976,0.038737168907492,0.0299620390510142,"Ptk2/Rock1/Agt",3,"BP"
"GO:0061515","myeloid cell development","4/104","107/28832",0.0373831775700935,10.3637670740474,5.83856741004958,0.000619936402268962,0.038737168907492,0.0299620390510142,"Bpgm/Ank1/Tmod3/Fbn1",4,"BP"
"GO:0014910","regulation of smooth muscle cell migration","4/104","110/28832",0.0363636363636364,10.0811188811189,5.74145798870777,0.000687821018112601,0.0417851268503405,0.0323195431610219,"Dock5/Ptk2/Agt/Fga",4,"BP"
"GO:0030195","negative regulation of blood coagulation","3/104","49/28832",0.0612244897959184,16.9733124018838,6.73315827366676,0.000744546007236939,0.0431934379487738,0.0334088295832693,"Kng2/Serping1/Fga",3,"BP"
"GO:1905952","regulation of lipid localization","5/104","197/28832",0.0253807106598985,7.03631393986724,5.11505331406018,0.000753017072634126,0.0431934379487738,0.0334088295832693,"Eepd1/Ces1c/C3/Agt/Lpcat3",5,"BP"
"GO:0045807","positive regulation of endocytosis","5/104","199/28832",0.0251256281407035,6.9655972168535,5.08090255369351,0.000787957039881058,0.0431934379487738,0.0334088295832693,"Ptk2/Sod1/Tbc1d5/C3/Gas6",5,"BP"
"GO:1900047","negative regulation of hemostasis","3/104","50/28832",0.06,16.6338461538462,6.65708616658919,0.000790003437563306,0.0431934379487738,0.0334088295832693,"Kng2/Serping1/Fga",3,"BP"
"GO:0050819","negative regulation of coagulation","3/104","51/28832",0.0588235294117647,16.3076923076923,6.58317953220267,0.000837188764590273,0.044045161012871,0.0340676118439986,"Kng2/Serping1/Fga",3,"BP"
"GO:0051650","establishment of vesicle localization","5/104","204/28832",0.0245098039215686,6.79487179487179,4.99755103933683,0.000880599871280075,0.044045161012871,0.0340676118439986,"Exoc4/Shroom2/Pef1/Madd/Map2",5,"BP"
"GO:0008089","anterograde axonal transport","3/104","52/28832",0.0576923076923077,15.9940828402367,6.51133454671706,0.00088612767917735,0.044045161012871,0.0340676118439986,"Madd/Sod1/Map2",3,"BP"
"GO:0050764","regulation of phagocytosis","4/104","119/28832",0.0336134453781513,9.31868131868132,5.47119897098348,0.00092293144358959,0.044045161012871,0.0340676118439986,"Ptk2/Sod1/C3/Gas6",4,"BP"
"GO:0090181","regulation of cholesterol metabolic process","3/104","53/28832",0.0566037735849057,15.6923076923077,6.44145425293412,0.000936845535212809,0.044045161012871,0.0340676118439986,"Sod1/Ces1c/Lpcat3",3,"BP"
"GO:1901888","regulation of cell junction assembly","6/104","311/28832",0.0192926045016077,5.34850358644571,4.63907591454888,0.00093985472834358,0.044045161012871,0.0340676118439986,"Ptk2/Podxl/Apod/Rock1/Agt/F11r",6,"BP"
