Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q91WU5,AS3MT_MOUSE,Arsenite methyltransferase OS=Mus musculus OX=10090 ,As3mt,1473500,3579400,3341050,1839740,2069600,2062900,2548130,3780610,3584410,1824300,2960290,2400770,2336420,2250850,2452750,3058820,2452340,3013520
Q9WV54,ASAH1_MOUSE,Acid ceramidase OS=Mus musculus OX=10090 ,Asah1,6170370,6312580,10728200,20223800,6100610,17277100,17754300,17469600,7126040,8532750,12674300,14220300,16359300,15596700,16132100,12142800,9532060,8862520
Q9QWY8,ASAP1_MOUSE,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 ",Asap1,2677040,3537250,2083600,2924700,3249880,3119380,2786120,3101450,3008210,2791080,4044350,2777820,3308750,3335630,3180020,3044570,3049760,3669050
Q7SIG6,ASAP2_MOUSE,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 ",Asap2,,,,,,,,,,1010130,,,,,298214,,,
Q9D8Z1,ASCC1_MOUSE,Activating signal cointegrator 1 complex subunit 1 OS=Mus musculus OX=10090 ,Ascc1,,262037,,,288581,,,,304427,,464514,,327827,518897,309499,592442,815167,360982
Q91YI0,ARLY_MOUSE,Argininosuccinate lyase OS=Mus musculus OX=10090 ,Asl,11520900,10210200,11506800,10643800,13188400,10587100,14923700,7977710,12143900,10566500,8352960,11208300,9859490,11968600,11919800,10613500,9457090,11656100
Q61024,ASNS_MOUSE,Asparagine synthetase [glutamine-hydrolyzing] OS=Mus musculus OX=10090 ,Asns,1375640,1946700,1296120,2310710,1720200,1787260,1633680,1764510,1114530,,1590300,1403050,1602680,1998710,1887000,,1506040,1302010
Q8R3P0,ACY2_MOUSE,Aspartoacylase OS=Mus musculus OX=10090 ,Aspa,20418100,22055100,25816000,23805200,26915800,27778400,23001700,25528300,24846800,19040200,23326000,23641300,21199800,26580500,24342300,24030100,22052600,24005200
Q8BSY0,ASPH_MOUSE,Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus OX=10090 ,Asph,3901830,4864790,,6345100,4676940,5312830,5415940,4934590,6016770,,4805450,5457590,5361540,6296740,5727560,4938670,6843820,4634940
Q99MQ4,ASPN_MOUSE,Asporin OS=Mus musculus OX=10090 ,Aspn,152358000,142284000,176962000,107305000,50574200,59929600,77275900,104185000,134383000,157029000,88506100,124210000,117073000,107977000,133416000,165834000,125536000,98748100
Q8VBT9,ASPC1_MOUSE,Tether containing UBX domain for GLUT4 OS=Mus musculus OX=10090 ,Aspscr1,,,,,1881520,,,523540,,,492553,639572,80275,1243710,2299390,,,606690
Q8C0M9,ASGL1_MOUSE,Isoaspartyl peptidase/L-asparaginase OS=Mus musculus OX=10090 ,Asrgl1,9944510,11647200,13026400,10584100,14425800,11741800,15014800,13185200,12717200,14074100,10203000,13761600,10691600,13265100,11273000,13382800,7926610,11523600
P16460,ASSY_MOUSE,Argininosuccinate synthase OS=Mus musculus OX=10090 ,Ass1,15845400,25761600,50700500,23371400,30967900,27192800,24945700,21159900,27239100,45303900,15029100,24553800,20841700,28176700,23752100,28967500,22873600,11883800
Q9D5T0,ATAD1_MOUSE,Outer mitochondrial transmembrane helix translocase OS=Mus musculus OX=10090 ,Atad1,2284790,2266840,,1665480,6925330,3609350,2785860,1635250,2507190,2886320,1753210,1601310,913749,1681000,1547110,3319130,2208850,1794880
Q925I1,ATAD3_MOUSE,ATPase family AAA domain-containing protein 3 OS=Mus musculus OX=10090 ,Atad3,7448450,11884700,11948000,11280700,11015900,10806000,14697500,15806800,10822900,9191900,10007400,10558600,11559600,12075000,12029900,10140100,9657960,10164900
Q8K341,ATAT_MOUSE,Alpha-tubulin N-acetyltransferase 1 OS=Mus musculus OX=10090 ,Atat1,405550,351055,,318190,,313064,280181,,220819,,368770,276043,304675,288136,331032,278678,435034,
Q8BHE3,ATCAY_MOUSE,Caytaxin OS=Mus musculus OX=10090 ,Atcay,330160,422078,,,,302485,545863,,261990,,487630,,,419817,,317450,394623,
Q9Z2A5,ATE1_MOUSE,Arginyl-tRNA--protein transferase 1 OS=Mus musculus OX=10090 ,Ate1,,3911920,,4562640,4682830,4859330,4660800,5278730,3373650,,3503150,3518590,4326310,5274720,4582350,2133300,4863570,4326130
Q8C0J2,A16L1_MOUSE,Autophagy-related protein 16-1 OS=Mus musculus OX=10090 ,Atg16l1,2599960,2182220,2791950,2403800,2575500,2268340,2577500,2274620,2330190,2339780,2395250,2207500,2172160,2472370,2148310,2417920,1938140,2415320
Q80XK6,ATG2B_MOUSE,Autophagy-related protein 2 homolog B OS=Mus musculus OX=10090 ,Atg2b,704650,1232230,127506,1134080,1311270,1146040,954565,791303,1237870,451364,1442070,955722,1312510,1308350,1066580,1085780,916584,1297070
Q9CPX6,ATG3_MOUSE,Ubiquitin-like-conjugating enzyme ATG3 OS=Mus musculus OX=10090 ,Atg3,973567,7370290,7622660,8079840,8434840,8079840,7982680,8324470,8453160,8449340,6876060,7887410,7647530,7459760,7783940,8698450,8668020,6938080
Q8BGE6,ATG4B_MOUSE,Cysteine protease ATG4B OS=Mus musculus OX=10090 ,Atg4b,10322500,7656650,10091300,8769890,9514230,8658950,9018340,11258700,4604910,,8730310,9243790,9405850,5853380,9794300,3320100,9163990,9181810
Q99J83,ATG5_MOUSE,Autophagy protein 5 OS=Mus musculus OX=10090 ,Atg5,2794330,5999930,,4949590,4305620,3993750,4289660,4920630,4611250,,5414780,4389170,6644210,4111910,5599200,5607360,5322620,4696550
Q9D906,ATG7_MOUSE,Ubiquitin-like modifier-activating enzyme ATG7 OS=Mus musculus OX=10090 ,Atg7,3574980,2895900,3489470,2871760,3196590,2488330,2831800,2812260,2889120,3378420,2774370,2931260,3233300,3109950,2802790,2040760,3273260,3086250
Q68FE2,ATG9A_MOUSE,Autophagy-related protein 9A OS=Mus musculus OX=10090 ,Atg9a,1088390,1006040,888276,840142,749706,599245,910328,857161,682273,1079480,738339,945844,497030,798271,1193920,1019960,970815,789071
Q9CWJ9,PUR9_MOUSE,Bifunctional purine biosynthesis protein ATIC OS=Mus musculus OX=10090 ,Atic,76003500,50710900,34562700,20846300,95545300,23201600,26475900,23860000,86161200,33912200,22080200,23776600,21332200,30186100,22011700,31857100,23895800,21945400
Q8BH66,ATLA1_MOUSE,Atlastin-1 OS=Mus musculus OX=10090 ,Atl1,5701300,9029400,3844620,6824250,12248500,10389900,7156750,7082870,7992220,5570300,9461810,7240190,8135320,7681720,7298490,8821310,4124930,8201470
Q6PA06,ATLA2_MOUSE,Atlastin-2 OS=Mus musculus OX=10090 ,Atl2,4812230,,,,2630630,,,,,,,3599340,,3167910,,,,
Q91YH5,ATLA3_MOUSE,Atlastin-3 OS=Mus musculus OX=10090 ,Atl3,9264880,8185130,11024700,10015800,13070600,12078400,12828700,11430100,9140070,11730200,8327290,9847150,10890600,12888200,11745500,4265060,7632030,10631700
O08997,ATOX1_MOUSE,Copper transport protein ATOX1 OS=Mus musculus OX=10090 ,Atox1,8241540,30178300,8195220,14574400,20291200,18335000,20277400,24135500,48794300,11142500,27355600,34096500,28414700,19127500,15217800,47158400,14486100,28633800
Q9QZW0,AT11C_MOUSE,Phospholipid-transporting ATPase 11C OS=Mus musculus OX=10090 ,Atp11c,,,,1058220,,607694,,,,,799315,,,592035,,,516628,
Q9EPE9,AT131_MOUSE,Endoplasmic reticulum transmembrane helix translocase OS=Mus musculus OX=10090 ,Atp13a1,2013290,1698580,1745780,1465240,1354710,1250010,1862160,1045750,1568520,1786330,1834850,1137190,1436940,1132540,1687690,747022,1281820,1508330
Q8VDN2,AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus OX=10090 ,Atp1a1,434658000,393259000,417078000,377111000,429147000,416435000,381831000,381186000,324589000,396345000,451510000,442326000,456014000,364245000,364619000,372353000,393419000,530279000
Q6PIE5,AT1A2_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus OX=10090 ,Atp1a2,26217800,23611600,29927200,26208500,27675900,26531100,30474600,29070700,24989000,24790300,25479500,25300900,24174400,26267700,26997700,20506200,21861900,29391600
Q6PIC6,AT1A3_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Mus musculus OX=10090 ,Atp1a3,110984000,102565000,103086000,73754800,83154600,80832200,74350600,79529300,77025200,69684100,110660000,109201000,94600200,68413700,69786700,87384800,77545300,110734000
Q9WV27,AT1A4_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Mus musculus OX=10090 ,Atp1a4,9469990,7190030,4411560,3502320,6208540,,5402300,,3835510,,,,,10223600,6741890,6722650,5467450,7805340
P14094,AT1B1_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus OX=10090 ,Atp1b1,202782000,180964000,222702000,126415000,149952000,153115000,133185000,134665000,151058000,186546000,181118000,175566000,160095000,128852000,110843000,191716000,105499000,230483000
P14231,AT1B2_MOUSE,Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus OX=10090 ,Atp1b2,1784790,1292350,2186360,2842200,1897350,1700540,3735560,1736820,1840180,1588290,1845480,1482110,1200950,2183930,1131160,2056890,1465310,3361140
P97370,AT1B3_MOUSE,Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus OX=10090 ,Atp1b3,45183000,58577200,30981700,40270500,47180100,53484000,52165300,57212600,58130800,41388500,52983600,48085100,49539200,42519400,48384800,53206400,54813600,61447900
Q8R429,AT2A1_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Mus musculus OX=10090 ,Atp2a1,1706760,,,1382520,2539210,1626790,1060600000,978124000,4814080,3911160,,6743570,5492120,4078630,3200810,47167300,7301690,1812420
O55143,AT2A2_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 ,Atp2a2,14153800,12991700,13408700,14983500,15134500,13974000,14061200,11493900,13776500,14935600,12294800,14051400,14297400,13411200,12781400,11650600,15186800,13259900
Q64518,AT2A3_MOUSE,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Mus musculus OX=10090 ,Atp2a3,962324,825974,1020800,1664990,970745,1106420,,1973190,1620550,1792530,1004970,1379600,2445170,2467960,2036900,,1571380,1255860
G5E829,AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 ,Atp2b1,8796450,6874720,7998980,7673640,9340930,8934610,9255600,7680610,8624460,7949970,8676890,9057600,8567610,8199210,8346230,7836090,7995780,7675240
Q9R0K7,AT2B2_MOUSE,Plasma membrane calcium-transporting ATPase 2 OS=Mus musculus OX=10090 ,Atp2b2,15513400,16107600,16203900,11803700,13096100,13523500,10216400,12167000,11140100,14154900,15121500,13671300,14913000,12009300,13142500,10032200,10581600,12613900
Q0VF55,Q0VF55_MOUSE,Calcium-transporting ATPase OS=Mus musculus OX=10090 ,Atp2b3,,,,,,,,,,367432,,,,,,,537730,
Q6Q477,AT2B4_MOUSE,Plasma membrane calcium-transporting ATPase 4 OS=Mus musculus OX=10090 ,Atp2b4,3456280,4853300,6852660,3387100,4061710,5071740,2583860,3608960,5113620,5879130,5629220,3736160,4930840,3334270,4197870,4295530,3850220,4731610
Q03265,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 ",Atp5f1a,270299000,276927000,329193000,259603000,247240000,286748000,569287000,626769000,329417000,315149000,278557000,304011000,306243000,328264000,283290000,327411000,284217000,307859000
P56480,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 ",Atp5f1b,179767000,210993000,183432000,185424000,225615000,203397000,510123000,441835000,277759000,148421000,203746000,243794000,201316000,240267000,211463000,253934000,177797000,190975000
Q91VR2,ATPG_MOUSE,"ATP synthase subunit gamma, mitochondrial OS=Mus musculus OX=10090 ",Atp5f1c,42402700,30955500,33123900,35748700,44943000,37813300,90647800,67881800,49536100,30415900,37918900,52629000,38106000,47754000,32588700,43166700,36999900,30040500
Q9D3D9,ATPD_MOUSE,"ATP synthase subunit delta, mitochondrial OS=Mus musculus OX=10090 ",Atp5f1d,1031330,612350,2030160,94092,,,401431,239220,590293,1548260,,,,,,1215170,,
Q06185,ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial OS=Mus musculus OX=10090 ",Atp5me,32392400,36264700,62868900,34262700,29861600,30219400,77357800,92705500,54375300,53632600,43562000,49830500,45522800,32415500,35727800,59967500,29581400,37345700
P56135,ATPK_MOUSE,"ATP synthase subunit f, mitochondrial OS=Mus musculus OX=10090 ",Atp5mf,21200400,60571800,51410300,52400400,49344500,59826000,127595000,132243000,77006100,51636500,65798900,59701700,67861400,52441600,61617900,89429700,58531800,64155100
Q9CPQ8,ATP5L_MOUSE,"ATP synthase subunit g, mitochondrial OS=Mus musculus OX=10090 ",Atp5mg,7338650,5859490,8911740,4775770,6509750,5378180,17946900,14497300,8069470,6643320,6413770,7390000,6202790,4921340,3839310,8477790,2374500,4651270
Q78IK2,ATPMK_MOUSE,"ATP synthase membrane subunit K, mitochondrial OS=Mus musculus OX=10090 ",Atp5mk,43826100,44145000,43939300,42705100,36664700,40545800,92862800,91358500,41363600,47229600,31113100,34643800,36984200,47379300,35943700,44742400,36251500,33828100
P56379,ATP68_MOUSE,"ATP synthase subunit ATP5MPL, mitochondrial OS=Mus musculus OX=10090 ",Atp5mpl,6192620,6000160,4231560,3303650,2031510,3255890,13492700,10690700,4482800,4227630,2449510,4430550,3503380,6080680,5450130,6019720,2466550,4869420
Q9CQQ7,AT5F1_MOUSE,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus OX=10090 ",Atp5pb,14661700,18502100,19477900,19167400,15056200,11641200,41501700,46179400,30000200,16483500,16902500,19280700,19864100,18464100,16511600,30042300,13399600,16742400
Q9DCX2,ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial OS=Mus musculus OX=10090 ",Atp5pd,50891100,57256600,44702500,31856800,32294400,29447200,65590500,93144200,48670300,50035600,56680200,54267500,50825600,31413700,33700300,53563000,30872900,47561500
P97450,ATP5J_MOUSE,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus OX=10090 ",Atp5pf,10626000,10674500,13439800,12576900,9388670,10756900,25728600,24354200,14915700,13881800,9652100,13141600,12700200,10371100,11235100,14499000,10687200,11357200
Q9DB20,ATPO_MOUSE,"ATP synthase subunit O, mitochondrial OS=Mus musculus OX=10090 ",Atp5po,45567600,45461500,58268000,51926600,43987100,44791500,139960000,106574000,61315800,47852500,47965000,55161800,51892700,53016300,46148200,67212300,50369500,64377300
Q9R1Q9,VAS1_MOUSE,V-type proton ATPase subunit S1 OS=Mus musculus OX=10090 ,Atp6ap1,,,,,,,3038020,2317520,,,2452990,1597980,2221390,1969490,2588000,,,2394680
Q9Z1G4,VPP1_MOUSE,V-type proton ATPase 116 kDa subunit a 1 OS=Mus musculus OX=10090 ,Atp6v0a1,3520030,4274160,7633910,4345230,3945840,4339360,4158610,4691660,3836520,3565030,4541050,5134640,5087470,4032370,4630550,3571820,4893480,4988240
P51863,VA0D1_MOUSE,V-type proton ATPase subunit d 1 OS=Mus musculus OX=10090 ,Atp6v0d1,5037560,7048310,7448610,7297720,7206990,7738820,6390370,8314190,8126550,6674640,8648050,7586950,9010210,8068040,8435080,8286240,9562240,7341910
P50516,VATA_MOUSE,V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 ,Atp6v1a,33502500,28817400,35134000,22898600,34991800,28793700,30102600,24634400,30553200,27388000,23802000,29778300,26290000,31253900,25252300,28893100,20565100,28719400
P62814,VATB2_MOUSE,"V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 ",Atp6v1b2,56613600,40635000,54063900,44157600,54133100,53190400,40130500,45357700,47221600,50121300,56316700,57979000,52828400,47056500,39501800,50651500,45131900,50827900
Q9Z1G3,VATC1_MOUSE,V-type proton ATPase subunit C 1 OS=Mus musculus OX=10090 ,Atp6v1c1,12500900,10451400,10022000,9988660,8640630,10316800,10757000,9702960,9728470,12528300,12079000,9961230,11954000,8350550,10112600,11691700,6990610,13687800
P57746,VATD_MOUSE,V-type proton ATPase subunit D OS=Mus musculus OX=10090 ,Atp6v1d,1480530,1383120,1510780,1305900,1574870,1523010,1484030,1185210,2159290,1980610,1251790,1682900,1411760,1667360,1329540,2592750,1543060,1242960
P50518,VATE1_MOUSE,V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 ,Atp6v1e1,18603600,2636800,21242200,14619300,17039800,17150900,23928000,11974800,5882950,21583700,48934000,19694900,16853300,20462000,15068200,30406600,24083600,11132500
Q9D1K2,VATF_MOUSE,V-type proton ATPase subunit F OS=Mus musculus OX=10090 ,Atp6v1f,14321500,12208700,12868600,12428400,11542400,10614100,9996660,11104300,16642600,21084200,12199200,13176200,13033600,9134630,10702400,18351500,10517700,12162700
Q9CR51,VATG1_MOUSE,V-type proton ATPase subunit G 1 OS=Mus musculus OX=10090 ,Atp6v1g1,17279900,18172000,17056000,1407810,20050000,17230800,12975700,18845900,19130900,21169200,19062900,18568400,17464400,16063400,17757600,22859500,21700200,13363800
Q9WTT4,VATG2_MOUSE,V-type proton ATPase subunit G 2 OS=Mus musculus OX=10090 ,Atp6v1g2,4342720,3618580,3257770,2159490,3814790,2385760,2468580,2784490,3258440,2631610,2783420,4583800,3130370,2767850,2708920,3432170,1425820,3301350
Q8BVE3,VATH_MOUSE,V-type proton ATPase subunit H OS=Mus musculus OX=10090 ,Atp6v1h,31197700,24197900,35397900,20725700,24741000,22432200,21430000,16982100,22164100,24756400,22161200,21462400,16907700,20521100,20022800,20551700,20325400,18653900
P70704,AT8A1_MOUSE,Phospholipid-transporting ATPase IA OS=Mus musculus OX=10090 ,Atp8a1,4050730,7063370,4720970,6285980,5976620,5646760,5651470,5285500,5213350,5208630,6150990,5550020,5534210,5525520,5880750,4452060,6082890,5687350
P98200,AT8A2_MOUSE,Phospholipid-transporting ATPase IB OS=Mus musculus OX=10090 ,Atp8a2,425411,803343,799546,798011,745216,834927,,581213,,,787886,683761,806112,650912,596164,595625,,692703
O70228,ATP9A_MOUSE,Probable phospholipid-transporting ATPase IIA OS=Mus musculus OX=10090 ,Atp9a,567468,1268200,842391,870761,1109920,1103940,1145450,1547200,1036750,1171030,1536640,942946,1408010,843523,1224510,,686479,1335190
Q811I0,ATPF1_MOUSE,ATP synthase mitochondrial F1 complex assembly factor 1 OS=Mus musculus OX=10090 ,Atpaf1,,946042,,1341020,,1263020,1970340,1928720,,,1607050,,1035050,,1109600,,1329700,1488120
P28658,ATX10_MOUSE,Ataxin-10 OS=Mus musculus OX=10090 ,Atxn10,10591200,8414520,10842600,8283830,9865180,8904910,8538800,10145800,10070500,12028300,10975300,10034500,9125640,9086020,9670630,9498630,9771500,10108900
O70305,ATX2_MOUSE,Ataxin-2 OS=Mus musculus OX=10090 ,Atxn2,,1263170,1148910,1064900,,1288880,,,900196,738060,1129410,,1261380,,1105260,659018,1036480,992384
Q7TQH0,ATX2L_MOUSE,Ataxin-2-like protein OS=Mus musculus OX=10090 ,Atxn2l,1295800,1460680,2127270,,3276150,1492900,4579560,1999660,3175880,,1069020,4252830,1920280,4191860,1752380,2341280,1514140,1797060
Q3UD01,A7L3B_MOUSE,Ataxin-7-like protein 3B OS=Mus musculus OX=10090 ,Atxn7l3b,,1044960,1339830,1007460,,1076300,990274,763047,1436820,1085100,1157280,,824927,,503363,956347,1053660,1219750
Q9JLZ3,AUHM_MOUSE,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus OX=10090 ",Auh,14303100,14982000,12274100,11196500,16938700,16973300,20100800,18182700,17811200,14466500,13985900,15878800,15587600,16240300,15567600,18341600,15114500,15590200
P70295,AUP1_MOUSE,Lipid droplet-regulating VLDL assembly factor AUP1 OS=Mus musculus OX=10090 ,Aup1,,,,275888,309652,490949,,246461,,,,,1252750,1973860,,,,498300
O88398,AVIL_MOUSE,Advillin OS=Mus musculus OX=10090 ,Avil,29022100,30677200,32521300,25098500,37301300,33623200,29412300,31583400,27248900,31597500,30840300,33051600,31595000,28364400,26123800,27133800,22811100,32468000
Q80U56,AVL9_MOUSE,Late secretory pathway protein AVL9 homolog OS=Mus musculus OX=10090 ,Avl9,,606364,592443,,506426,,,803773,628409,,681865,,,404410,491589,,,847212
Q00993,UFO_MOUSE,Tyrosine-protein kinase receptor UFO OS=Mus musculus OX=10090 ,Axl,628709,708916,754456,657014,663768,599739,,,602064,753241,585826,426684,653034,629499,734584,539359,841757,443059
Q64726,ZA2G_MOUSE,Zinc-alpha-2-glycoprotein OS=Mus musculus OX=10090 ,Azgp1,5092070,4307290,6225460,5439380,3998030,3838660,4308450,4217650,7351200,5001750,3791650,3543770,3859090,5145080,5466850,6657390,4275940,3407660
P01887,B2MG_MOUSE,Beta-2-microglobulin OS=Mus musculus OX=10090 ,B2m,551410,639474,1026820,839323,950518,1007500,1230440,560174,1422660,1013410,715305,1093430,839162,1053540,977180,645137,1052200,1067910
P15535,B4GT1_MOUSE,"Beta-1,4-galactosyltransferase 1 OS=Mus musculus OX=10090 ",B4galt1,,117833,,188692,156494,273790,,186006,107172,,169885,165515,203612,195602,,,255198,
Q8BWP8,B4GA1_MOUSE,"Beta-1,4-glucuronyltransferase 1 OS=Mus musculus OX=10090 ",B4gat1,,278413,271323,,151428,,221089,,382874,,,117233,215914,155264,,340458,250437,189217
Q80ZS7,Q80ZS7_MOUSE,Dynein light chain OS=Mus musculus OX=10090 ,BC048507,,,,,49270,,,,,,,776420,466914,,,,70109,
Q8K3W0,BABA2_MOUSE,BRISC and BRCA1-A complex member 2 OS=Mus musculus OX=10090 ,Babam2,4421460,4755160,3590160,2343330,3372770,2586570,3112770,3993390,3700060,3663180,1606710,4334530,2024100,3967200,3553460,3657250,3749400,4472540
Q60739,BAG1_MOUSE,BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 ,Bag1,,,,1794430,982330,,825067,1362100,2834450,2116820,1238960,,1537020,700409,1773190,2503360,1917450,1004310
Q91YN9,BAG2_MOUSE,BAG family molecular chaperone regulator 2 OS=Mus musculus OX=10090 ,Bag2,,815453,,,,,1127780,,1390810,,4049320,,1304410,721350,1766730,1077940,,
Q9JLV1,BAG3_MOUSE,BAG family molecular chaperone regulator 3 OS=Mus musculus OX=10090 ,Bag3,35666400,28965700,14603000,22694100,29974600,32260300,26247500,31350800,27554500,17473100,27343800,28044500,28954500,24291900,27138200,27207800,26401500,24867600
Q8CI61,BAG4_MOUSE,BAG family molecular chaperone regulator 4 OS=Mus musculus OX=10090 ,Bag4,247509,326423,332352,161451,304379,261748,,112919,186782,471281,239781,,,308283,221589,120961,195277,147106
Q8CI32,BAG5_MOUSE,BAG family molecular chaperone regulator 5 OS=Mus musculus OX=10090 ,Bag5,6921400,5354720,8029090,6359260,4888710,6625260,4794010,5382570,5461540,6211310,7181290,5382690,5548530,5165080,5066550,6467850,6427600,6641970
Q9Z1R2,BAG6_MOUSE,Large proline-rich protein BAG6 OS=Mus musculus OX=10090 ,Bag6,4655140,8481160,6274820,5977980,6082600,4951290,6538070,7050740,5713170,6794700,5609340,8920550,6196840,8577900,6898420,6156980,10594100,9107190
Q8BKX1,BAIP2_MOUSE,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Mus musculus OX=10090 ,Baiap2,1889040,1570380,1787020,1644690,1505170,1376100,1102890,1380000,1483530,1783030,1574480,1432910,1649260,1289750,1442250,1277860,1532880,1275010
Q9DBJ3,BI2L1_MOUSE,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Mus musculus OX=10090 ,Baiap2l1,1145430,526855,961554,884437,1393510,905333,,746425,754220,1186310,,,589951,,1216450,1248260,1004320,928221
O54962,BAF_MOUSE,Barrier-to-autointegration factor OS=Mus musculus OX=10090 ,Banf1,10693600,2783540,,12711400,10143800,13664400,14727700,14055400,7989250,4975790,13039200,13669300,13822000,14021800,15570100,18405800,12661100,12309200
Q91XV3,BASP1_MOUSE,Brain acid soluble protein 1 OS=Mus musculus OX=10090 ,Basp1,3759700,3037790,3693790,2795700,2505650,2955600,2541850,2305750,2846580,3526430,2702340,2304810,2600790,2923900,2672640,3669650,3552790,2503710
Q07813,BAX_MOUSE,Apoptosis regulator BAX OS=Mus musculus OX=10090 ,Bax,2055430,1292380,,,1231800,,1733530,,1760380,,,1634430,,1660070,,1508280,,784410
Q9Z277,BAZ1B_MOUSE,Tyrosine-protein kinase BAZ1B OS=Mus musculus OX=10090 ,Baz1b,,1055950,,940071,554029,,1268110,842002,1150840,,615777,1220630,1106310,1116160,1104290,,1019770,747744
Q9R069,BCAM_MOUSE,Basal cell adhesion molecule OS=Mus musculus OX=10090 ,Bcam,47053800,41184500,48064500,54687900,47859700,50369400,44219100,44703100,41531100,42604900,42843800,47637000,43636500,52643500,48141000,37540800,47519600,51815000
Q61334,BAP29_MOUSE,B-cell receptor-associated protein 29 OS=Mus musculus OX=10090 ,Bcap29,,,,680004,1183080,,1039040,903194,902426,,697016,704716,1142010,941678,,550105,840249,728984
Q61335,BAP31_MOUSE,B-cell receptor-associated protein 31 OS=Mus musculus OX=10090 ,Bcap31,,,,,,,,,,,,313065,,,,,,416678
Q61140,BCAR1_MOUSE,Breast cancer anti-estrogen resistance protein 1 OS=Mus musculus OX=10090 ,Bcar1,89643,493980,,385649,668960,614939,445575,326164,444238,,445158,544465,508701,621154,414910,250675,639712,
Q80YN3,BCAS1_MOUSE,Breast carcinoma-amplified sequence 1 homolog OS=Mus musculus OX=10090 ,Bcas1,35919900,27856200,38384400,34383100,29777900,26828000,33847400,23403200,26747100,30322400,29266000,31252600,23869800,26524100,23288300,33237000,29366000,43515700
Q9D287,SPF27_MOUSE,Pre-mRNA-splicing factor SPF27 OS=Mus musculus OX=10090 ,Bcas2,,1582130,,175879,547503,,,,,491044,341332,863312,2831950,931082,,851190,658257,
Q8CCN5,BCAS3_MOUSE,BCAS3 microtubule associated cell migration factor OS=Mus musculus OX=10090 ,Bcas3,1130230,864287,1246730,1039140,1290720,1361710,639265,1007700,830561,1407360,1080520,1300350,894835,1324140,804049,820752,883392,535366
P24288,BCAT1_MOUSE,"Branched-chain-amino-acid aminotransferase, cytosolic OS=Mus musculus OX=10090 ",Bcat1,10182900,19094900,17036600,14030700,18281800,17207300,16228400,17116700,21100200,21855500,15889300,18569800,15133400,16572800,15064900,15473600,9967450,16185800
O35855,BCAT2_MOUSE,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus OX=10090 ",Bcat2,10169400,9986660,7507790,7228460,4645080,5919930,15536900,17607100,10745500,10600300,5296800,8961480,9202560,11453000,12646300,7639170,9822810,5340310
Q03311,CHLE_MOUSE,Cholinesterase OS=Mus musculus OX=10090 ,Bche,,,,425557,,901943,,1174280,,,,,,,1110030,,,
P50136,ODBA_MOUSE,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus OX=10090 ",Bckdha,3145470,2944760,3052000,2823470,2144910,2289800,4070220,4145630,2828180,3215360,2109440,3102630,2680850,3716920,2003100,2156420,2472720,1409880
Q6P3A8,ODBB_MOUSE,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus OX=10090 ",Bckdhb,2334850,3045540,2925380,2223270,2517220,2274670,4118900,4841690,2626680,2835030,2429100,2465950,2557070,2373040,2884030,1811240,2727550,1818820
