Significant,-log10(p-value),Difference,Gene Name,Number Of Imputations,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
,1.024225173,0.181931734,Snx1,0,0.67500782,0.59029007,0.818864822,1.069564819,1.14214325,1.085681915,0.921798706,0.787081718,0.9347229,0.910758972,1.010357857,1.057780266,1.068347931,1.220707893,1.268357277,1.086118698,1.158290863,0.84028244
,0.10224746,0.036497695,Snx12,0,2.466305733,2.391119003,2.302688599,2.581403732,2.446407318,2.640583038,2.142290115,2.45272541,2.53850174,2.215522766,2.867108345,2.504023552,2.481498718,2.555783272,2.568173409,2.7897892,2.638027191,2.308519363
,0.174696121,-0.270737742,Snx15,7,-4.282897949,-4.029003143,-3.164005995,-2.123937607,-3.836666107,-3.370749474,-4.815681934,-2.396317482,-4.669873714,-4.14200449,-2.463599205,-4.170528889,-2.417169571,-3.162356377,-2.91580677,-4.53884697,-2.465858459,-3.794555664
,0.357211831,0.172165087,Snx16,0,-2.59590435,-1.924787521,-2.644271851,-1.860445023,-2.275709152,-2.09396553,-1.924320221,-1.986426353,-2.632076263,-1.915706635,-1.761105537,-2.126376152,-2.091573715,-2.998000145,-2.444077492,-2.416694641,-2.106773376,-1.322450638
,0.797357133,-0.24659603,Snx17,0,-1.679245949,-1.717359543,-1.643371582,-1.745624542,-1.804908752,-1.971824646,-2.458602905,-2.054476738,-1.984056473,-1.408418655,-1.918686867,-2.341389656,-1.752958298,-1.807816505,-1.544709206,-2.001535416,-1.94294548,-2.319608688
,0.360160733,-0.151531254,Snx18,0,-1.101073265,-0.976331711,-1.082532883,-0.553853989,-0.77592659,-1.436899185,-1.263792038,-0.769518852,-1.481023788,-1.043382645,-0.789311409,-0.951449394,-0.573608398,-0.782887459,-0.847552299,-1.06671524,2.169157028,-0.541349411
,0.961714472,0.51428444,Snx2,0,0.18799305,1.792593002,1.258310318,1.702548981,2.064838409,1.734163284,1.847293854,1.743386269,1.744375229,1.324369431,1.789093971,2.046509743,1.759859085,2.081316948,2.000826836,1.6336689,1.300777435,1.859615326
,0.020708751,0.005240951,Snx27,0,0.638007164,0.907262802,0.959215164,0.842685699,0.923381805,0.961896896,0.590578079,0.728512764,0.843194962,0.874702454,0.971968651,0.614394188,0.605583191,0.674874306,0.667292595,0.627063751,0.490053177,0.960184097
,0.277119763,0.059193168,Snx3,0,1.496069908,1.50075531,1.337278366,1.628389359,1.502651215,1.741947174,1.299844742,1.406435966,1.633888245,1.656562805,1.607384682,1.795422554,1.912088394,1.817807198,1.572722435,1.995504379,1.637796402,1.701410294
,0.939096054,0.703083175,Snx30,6,-3.254569292,-1.277807236,-2.851656675,-1.828763962,-1.106412888,-1.681339264,-2.353631496,-1.373202324,-1.442708969,-2.036417007,-1.207100868,-1.579323769,-2.800729513,-1.033408165,-1.010464668,-1.752363205,-4.111051559,-4.345886707
,0.611006907,0.130138704,Snx4,0,0.408772469,0.399452209,0.110210419,0.519241333,0.500307083,0.555650711,0.518152237,0.493321419,0.471914291,0.170661926,0.716897011,0.653193474,0.669237137,0.572201729,0.563080788,0.306695938,0.513864517,0.728654861
,0.054528788,0.020891769,Snx5,0,1.062861443,1.031469345,0.890823364,1.338172913,1.062887192,1.149223328,1.175806046,1.124588966,1.404411316,0.633943558,1.161204338,1.19349575,1.189432144,1.27127552,1.344105721,1.398710251,1.197776794,1.020809174
,0.403603175,0.528261219,Snx6,0,0.319102287,1.537765503,-0.737443924,1.565391541,1.64453125,1.694044113,1.172712326,1.326865196,1.260120392,-0.631334305,1.929316521,1.148558617,1.514944077,1.547873497,2.062968254,1.773983002,1.721473694,1.519496918
,0.401112936,0.21187411,Snx7,0,-0.595648766,-0.493959427,-1.166351318,-0.283138275,-0.22233963,-0.260168076,-1.089532852,-0.515770912,-0.206487656,-0.714204788,0.048201561,-0.464869499,-0.131526947,-0.666169167,-0.19822216,-0.270259857,0.013662338,-0.106801987
,0.059390774,-0.027265719,Snx9,0,-0.53514576,0.390579224,-0.286741257,0.186117172,-0.189916611,0.01984787,-0.259012222,-0.08229351,-0.044033051,-0.135643005,0.071106911,0.083857536,0.179569244,-0.078318596,0.177517891,-0.177904129,0.051450729,0.023065567
,1.357485464,-0.679152318,Aspn,0,5.211127281,5.253353119,5.299610138,4.826105118,3.728725433,3.966424942,4.171649933,4.611355782,4.999610901,5.233867645,4.567141533,4.979182243,4.933784485,4.795294762,5.139388084,5.319129944,5.010364532,4.772699356
,0.407694822,0.337086303,Sod2,0,1.802302361,2.332939148,1.287029266,2.669565201,2.429006577,2.47167778,3.180101395,3.015524864,1.985996246,1.614774704,1.823235512,2.340666771,2.120965958,2.508515358,2.349658012,2.04873848,1.79734993,2.346250534
,0.431499477,0.729677975,Sod3,1,-3.247966051,0.651954651,1.176319122,0.28168869,0.419445038,0.201572418,0.978403091,-0.050332069,1.333925247,0.069953918,0.163271904,0.483105659,1.015014648,0.584105492,1.05961895,0.007904053,0.322238922,1.024995804
,1.382568461,-0.685584034,Serpina6,0,0.836306572,1.361051559,1.259893417,1.549741745,0.77938652,1.045255661,0.889656067,0.620926857,0.113258362,-0.396154404,0.910820961,0.784399986,0.861555099,0.880665779,0.948655128,-0.030443192,0.590091705,-0.116744995
,0.288968866,-0.079603161,Sorbs1,0,2.627135277,2.14339447,2.414442062,2.730510712,2.540039063,2.537208557,2.264751434,2.271424294,2.337694168,2.553331375,2.290423393,2.663813591,2.408895493,2.631081581,2.547127724,2.375377655,2.766429901,2.40760994
,1.619651596,-0.702858857,Prrg3,9,-3.088778496,-2.908269882,-2.300405502,-2.720384598,-3.636321783,-4.378839016,-3.37016058,-3.342841625,-3.213316917,-3.236246109,-3.023503304,-4.904608727,-4.050823212,-4.162512302,-3.237301826,-3.126350403,-3.19195056,-2.731767654
,0.297747039,0.17945041,Sorbs3,0,-0.218472481,0.54743576,-0.583589554,0.488679886,0.577329636,0.600496292,-0.098831177,0.230504036,0.176301956,-0.22672081,0.406666756,0.389899254,0.422763824,0.671160698,0.608454704,0.08247757,0.706888199,0.320814133
,0.685990636,0.29092288,Sorcs1,0,-0.289814949,0.017665863,0.004013062,0.764623642,0.737251282,0.540468216,0.307947159,0.219292641,0.192035675,0.126649857,0.781668663,0.27042675,0.498306274,0.06302166,0.406758308,0.34910965,0.367967606,0.549089432
,0.143033405,-0.260365316,Sorcs2,1,-1.094353676,-1.123357773,-1.678739548,-0.622106552,-0.496156693,-1.70791626,-4.270705223,-1.129551888,-0.93514061,-0.617444992,-0.573117256,-0.751076698,-0.855247498,-0.862896919,-0.704180717,-1.034593582,-0.29082489,-0.75041008
,0.18929393,-0.090154341,Sord,0,0.188168526,0.370843887,0.732126236,0.515449524,0.776237488,0.242053986,0.246463776,0.305699348,0.834857941,-0.116636276,0.241772652,0.712891579,0.317718506,0.824383736,0.494547844,0.827722549,-0.012962341,0.626226425
,3.779204788,-0.705913986,Fga,0,2.860575676,2.974508286,3.2727108,3.115016937,2.146528244,2.153833389,2.312917709,2.516539574,2.617511749,2.239229202,2.4619627,2.400536537,2.395606995,2.700186729,2.803624153,2.413829803,2.363945007,2.078144073
,0.05627176,0.032518693,Sos1,0,-1.15822506,-0.70775795,-0.888399124,-0.476390839,-0.429512024,-0.37736702,-0.846017838,-0.874957085,-0.892219543,-1.402776718,-0.60337162,-0.596985817,-1.185630798,-0.568188667,-0.739634514,-0.637836456,-1.236297607,-0.724067688
,0.167669314,-0.188793804,Sowahc,8,-2.743737459,-1.963140488,-4.03399086,-3.24246788,-2.660472155,-2.255758286,-3.135516882,-3.679428816,-3.807241917,-3.808637619,-2.945340157,-3.147742271,-2.496377945,-4.677288532,-2.348887444,-3.820084333,-2.529699326,-3.672379732
